ACT,SAT,in_state_tuition,out_state_tuition,percent_admitted,percent_fin_aid,rank,school,sf_ratio,student_population,total_cost,undergrad_population
28-32,1200-1430,"$44,800","$44,800",41%,79%,#53,Whitman College,9,"1,498","$59,902","1,498"
28-32,1200-1430,"$44,724","$44,724",42%,69%,#54,Smith College,9,"2,989","$64,486","2,563"
27-31,1200-1400,"$46,385","$46,385",30%,61%,#55,Lafayette College,10,"2,503","$63,680","2,503"
27-31,1200-1400,"$48,514","$48,514",39%,60%,#56,Franklin and Marshall College,9,"2,209","$65,640","2,209"
27-31,1200-1400,"$46,410","$46,410",18%,55%,#57,Colorado College,10,"2,067","$63,600","2,050"
27-31,1200-1400,"$46,960","$46,960",36%,87%,#58,University of Rochester,10,"11,060","$65,264","6,266"
33-35,1418-1570,"$48,594","$48,594",14%,76%,#59,Harvey Mudd College,8,804,"$69,355",804
32-34,1420-1570,"$46,467","$46,467",17%,57%,#60,Washington University in St. Louis,8,"14,348","$67,751","7,401"
32-34,1420-1570,"$46,200","$46,200",34%,50%,#61,Wake Forest University,11,"7,788","$64,478","4,867"
28-31,1220-1400,"$45,966","$45,966",49%,66%,#62,Villanova University,12,"10,735","$62,773","7,118"
30-34,1340-1540,"$49,022","$49,022",25%,67%,#63,Carnegie Mellon University,10,"12,587","$65,895","5,888"
29-33,1290-1480,"$47,760","$47,760",39%,53%,#64,Reed College,9,"1,394","$64,480","1,374"
29-33,1280-1480,"$48,280","$48,280",18%,65%,#65,University of Southern California,9,"42,453","$67,212","18,739"
31-34,1360-1510,"$47,060","$47,060",16%,60%,#66,Johns Hopkins University,9,"21,372","$65,496","6,357"
29-32,1280-1460,"$45,008","$45,008",27%,59%,#67,Emory University,8,"14,769","$63,058","7,829"
28-32,1270-1465,"$47,195","$47,195",36%,78%,#68,Macalester College,10,"2,073","$61,853","2,073"
26-31,1180-1400,"$10,410","$26,660",57%,66%,#69,"University of Wisconsin, Madison",18,"42,598","$43,923","30,694"
27-31,1200-1440,"$45,540","$45,540",40%,76%,#70,Bryn Mawr College,8,"1,709","$63,990","1,308"
27-31,1200-1440,"$48,384","$48,384",41%,79%,#71,Union College (NY),10,"2,242","$64,245","2,242"
26-32,1290-1480,"$15,020","$29,646",59%,65%,#72,"University of Illinois, Urbana-Champaign",19,"45,140","$44,924","32,959"
30-33,1290-1500,"$45,620","$45,620",28%,94%,#73,Grinnell College,9,"1,734","$61,498","1,734"
29-33,1250-1480,"$47,558","$47,558",35%,65%,#74,Brandeis University,10,"5,945","$65,954","3,729"
25-31,1110-1350,"$12,394","$33,513",55%,56%,#75,University of Washington,18,"44,784","$49,338","30,672"
28-32,1230-1410,"$44,890","$44,890",34%,66%,#76,Lehigh University,10,"7,119","$60,575","5,062"
28-32,1240-1450,"$46,170","$46,170",35%,60%,#77,New York University,10,"49,274","$68,400","24,985"
26-31,1170-1360,"$6,313","$28,591",46%,96%,#78,University of Florida,21,"49,459","$42,939","32,829"
27-31,1190-1410,"$46,664","$46,664",35%,59%,#79,Boston University,13,"32,112","$65,906","18,017"
27-31,1190-1410,"$47,717","$47,717",48%,74%,#80,Dickinson College,10,"2,364","$64,541","2,364"
27-31,1190-1410,"$47,740","$47,740",38%,59%,#81,Connecticut College,9,"1,900","$64,965","1,893"
27-31,1210-1420,"$9,427","$29,720",48%,73%,#82,"University of Maryland, College Park",18,"37,610","$46,285","27,056"
28-33,1260-1460,"$47,378","$47,378",28%,61%,#83,Scripps College,10,988,"$66,060",972
28-33,1260-1460,"$49,056","$49,056",33%,47%,#84,Trinity College (CT),9,"2,408","$66,420","2,316"
25-30,1130-1350,"$47,464","$47,464",37%,54%,#85,Skidmore College,8,"2,646","$64,850","2,632"
27-31,1150-1370,"$5,000","$5,000",47%,68%,#86,Brigham Young University,18,"30,484","$17,718","27,163"
27-32,1190-1410,"$31,900","$31,900",69%,77%,#87,Wheaton College (IL),12,"2,914","$45,260","2,432"
27-32,1210-1390,"$43,812","$43,812",49%,75%,#88,Santa Clara University,12,"9,015","$63,666","5,486"
30-33,1310-1490,"$11,394","$30,698",33%,74%,#89,Georgia Institute of Technology,18,"23,109","$45,972","14,682"
25-30,1078-1370,"$41,161","$41,161",70%,100%,#90,Kalamazoo College,13,"1,461","$54,766","1,461"
25-29,1090-1300,"$42,746","$42,746",57%,99%,#91,DePauw University,10,"2,215","$58,478","2,215"
30-34,1250-1500,"$41,400","$41,400",15%,100%,#92,Cooper Union,8,966,"$62,710",893
26-32,1170-1410,"$9,830","$34,836",40%,63%,#93,"University of Texas, Austin",17,"51,313","$51,192","39,523"
26-32,1170-1410,"$37,100","$37,100",65%,78%,#94,Sewanee—University of the South,10,"1,714","$51,950","1,631"
26-30,1140-1330,"$10,836","$29,046",56%,95%,#95,University of Georgia,18,"35,197","$43,344","26,882"
27-31,1170-1360,"$36,214","$36,214",48%,94%,#96,Trinity University (TX),9,"2,432","$52,618","2,241"
27-31,1200-1380,"$41,572","$41,572",60%,91%,#97,Rhodes College,11,"2,054","$57,714","2,031"
27-31,1200-1380,"$45,670","$45,670",56%,100%,#98,Denison University,10,"2,278","$60,710","2,278"
27-31,1210-1390,"$47,522","$47,522",42%,71%,#99,Occidental College,10,"2,040","$67,046","2,040"
26-31,1110-1340,"$37,100","$37,100",72%,98%,#100,Centre College,10,"1,387","$51,030","1,387"
