school,url
https://www.forbes.com/colleges/university-of-north-carolina-at-chapel-hill/,"University of North Carolina, Chapel Hill"
https://www.forbes.com/colleges/kenyon-college/,Kenyon College
https://www.forbes.com/colleges/bucknell-university/,Bucknell University
https://www.forbes.com/colleges/hamilton-college/,Hamilton College
https://www.forbes.com/colleges/college-of-the-holy-cross/,College of the Holy Cross
https://www.forbes.com/colleges/bates-college/,Bates College
https://www.forbes.com/colleges/whitman-college/,Whitman College
https://www.forbes.com/colleges/smith-college/,Smith College
https://www.forbes.com/colleges/lafayette-college/,Lafayette College
https://www.forbes.com/colleges/franklin-and-marshall-college/,Franklin and Marshall College
https://www.forbes.com/colleges/colorado-college/,Colorado College
https://www.forbes.com/colleges/university-of-rochester/,University of Rochester
https://www.forbes.com/colleges/harvey-mudd-college/,Harvey Mudd College
https://www.forbes.com/colleges/washington-university-in-st-louis/,Washington University in St. Louis
https://www.forbes.com/colleges/wake-forest-university/,Wake Forest University
https://www.forbes.com/colleges/villanova-university/,Villanova University
https://www.forbes.com/colleges/carnegie-mellon-university/,Carnegie Mellon University
https://www.forbes.com/colleges/reed-college/,Reed College
https://www.forbes.com/colleges/university-of-southern-california/,University of Southern California
https://www.forbes.com/colleges/johns-hopkins-university/,Johns Hopkins University
https://www.forbes.com/colleges/emory-university/,Emory University
https://www.forbes.com/colleges/macalester-college/,Macalester College
https://www.forbes.com/colleges/university-of-wisconsin-madison/,"University of Wisconsin, Madison"
https://www.forbes.com/colleges/bryn-mawr-college/,Bryn Mawr College
https://www.forbes.com/colleges/union-college/,Union College (NY)
https://www.forbes.com/colleges/university-of-illinois-at-urbana-champaign/,"University of Illinois, Urbana-Champaign"
https://www.forbes.com/colleges/grinnell-college/,Grinnell College
https://www.forbes.com/colleges/brandeis-university/,Brandeis University
https://www.forbes.com/colleges/university-of-washington-seattle-campus/,University of Washington
https://www.forbes.com/colleges/lehigh-university/,Lehigh University
https://www.forbes.com/colleges/new-york-university/,New York University
http://www.ratemyprofessors.com/campusRatings.jsp?sid=1100,University of Florida
https://www.forbes.com/colleges/boston-university/,Boston University
https://www.forbes.com/colleges/dickinson-college/,Dickinson College
https://www.forbes.com/colleges/connecticut-college/,Connecticut College
http://www.ratemyprofessors.com/campusRatings.jsp?sid=1270,University of Maryland
https://www.forbes.com/colleges/scripps-college/,Scripps College
https://www.forbes.com/colleges/trinity-college/,Trinity College (CT)
https://www.forbes.com/colleges/skidmore-college/,Skidmore College
https://www.forbes.com/colleges/brigham-young-university/,Brigham Young University
https://www.forbes.com/colleges/wheaton-college-il/,Wheaton College (IL)
https://www.forbes.com/colleges/santa-clara-university/,Santa Clara University
https://www.forbes.com/colleges/georgia-institute-of-technology-main-campus/,Georgia Institute of Technology
http://www.ratemyprofessors.com/campusRatings.jsp?sid=474,Kalamazoo College
https://www.forbes.com/colleges/depauw-university/,DePauw University
https://www.forbes.com/colleges/cooper-union-for-the-advancement-of-science-and-art/,Cooper Union
https://www.forbes.com/colleges/the-university-of-texas-at-austin/,"University of Texas, Austin"
https://www.forbes.com/colleges/sewanee-the-university-of-the-south/,Sewaneeâ€”University of the South
https://www.forbes.com/colleges/university-of-georgia/,University of Georgia
https://www.forbes.com/colleges/trinity-university/,Trinity University (TX)
https://www.forbes.com/colleges/rhodes-college/,Rhodes College
https://www.forbes.com/colleges/denison-university/,Denison University
https://www.forbes.com/colleges/occidental-college/,Occidental College
https://www.forbes.com/colleges/centre-college/,Centre College
